taxa	Length
root	2464647.21721462
d__Archaea	1814539.0714285716
p__Halobacteriota	2821673.333333333
c__Halobacteria	3720108.5
o__Halobacteriales	3720108.5
f__Haloferacaceae	3720108.5
g__Halorubrum	3425042.0
s__Halorubrum lipolyticum	3425042.0
g__Haloferax	4015175.0
s__Haloferax massiliensis	4015175.0
p__Thermoplasmatota	1655878.8571428568
c__Thermoplasmata	1655878.8571428568
o__Methanomassiliicoccales	1655878.8571428568
f__Methanomethylophilaceae	1474223.0
g__Methanomethylophilus	1666795.0
s__Methanomethylophilus alvus	1666795.0
g__UBA71	1405022.333333333
s__UBA71 sp006954465	1713743.0
s__UBA71 sp006954425	1767803.0
g__MX-02	1448574.0
s__MX-02 sp006954405	1448574.0
f__Methanomassiliicoccaceae	1982859.4
g__Methanomassiliicoccus	1982859.4
s__Methanomassiliicoccus luminyensis	2620233.0
s__Methanomassiliicoccus intestinalis	1931651.0
p__Methanobacteriota	1741797.2727272727
c__Methanobacteria	1741797.2727272727
o__Methanobacteriales	1741797.2727272727
f__Methanobacteriaceae	1741797.2727272727
g__Methanobacterium	1905101.0
s__Methanobacterium sp000499765	1905101.0
g__Methanosphaera	1782188.0
s__Methanosphaera sp900322125	1759917.0
s__Methanosphaera stadtmanae	1767403.0
s__Methanosphaera cuniculi	1819244.0
g__Methanobrevibacter_A	1701157.8571428568
s__Methanobrevibacter_A oralis	2083511.0
s__Methanobrevibacter_A smithii	1729275.0
s__Methanobrevibacter_A smithii_A	1926345.0
s__Methanobrevibacter_A woesei	1610769.0
c__Methanomicrobia	1024803.0
o__Methanomicrobiales	1024803.0
f__Methanocorpusculaceae	1024803.0
g__Methanocorpusculum	1024803.0
s__HRGM_Genome_5356	1024803.0
s__HRGM_Genome_3551	1007928.0
s__HRGM_Genome_3552	981979.0
s__HRGM_Genome_3548	1726701.0
s__HRGM_Genome_3553	1231980.0
g__HRGM_Genome_3554	1722504.0
s__HRGM_Genome_1284	1739504.0
s__HRGM_Genome_1283	1817313.0
s__HRGM_Genome_3851	1805596.0
s__HRGM_Genome_5290	1591883.0
s__HRGM_Genome_5310	1274444.0
s__HRGM_Genome_3243	1691878.0
d__Bacteria	2468026.9105087263
p__Firmicutes	2176027.053667263
c__Bacilli	2176027.053667263
o__Lactobacillales	2098734.345454545
f__Streptococcaceae	1780639.4461538459
g__Streptococcus	1770509.649122807
s__Streptococcus mitis_D	1233255.0
s__Streptococcus mitis	1810665.0
s__Streptococcus pseudopneumoniae_O	1796209.0
s__Streptococcus mitis_AC	1846494.0
s__Streptococcus mitis_BB	1850168.0
s__Streptococcus sp900546335	1652745.0
s__Streptococcus oralis_S	1940370.0
s__Streptococcus oralis	1680380.0
t__HRGM_Genome_0327	1541311.0
t__HRGM_Genome_0322	1819449.0
s__Streptococcus sp900550895	1795280.0
s__Streptococcus oralis_W	1500206.0
s__Streptococcus oralis_E	1855725.0
s__Streptococcus sp900555155	1511164.0
s__Streptococcus infantis_I	1498040.0
s__Streptococcus sp000411475	1765113.0
s__Streptococcus peroris	976909.0
s__Streptococcus timonensis	1925331.0
s__Streptococcus parasanguinis_B	2066544.0
s__Streptococcus parasanguinis	2135140.0
s__Streptococcus sp900543065	1985520.0
s__Streptococcus sp004166885	2017290.0
s__Streptococcus sp000479315	1965871.0
s__Streptococcus rubneri	1039311.0
s__Streptococcus gordonii	2231411.0
s__Streptococcus constellatus	1789116.0
s__Streptococcus anginosus_C	1888139.0
s__Streptococcus anginosus	1821055.0
s__Streptococcus lutetiensis	1948071.0
s__Streptococcus infantarius	1925187.0
s__Streptococcus equinus	1741734.0
s__Streptococcus gallolyticus	2203494.0
s__Streptococcus pasteurianus	2159822.0
s__Streptococcus sp002300045	1593339.0
s__Streptococcus agalactiae	2041264.0
s__Streptococcus salivarius	2252077.0
s__Streptococcus sp001556435	1590794.0
s__Streptococcus vestibularis	1927307.0
t__HRGM_Genome_2080	1898011.0
t__HRGM_Genome_2083	1956603.0
s__Streptococcus thermophilus	1778764.0
s__Streptococcus sp000187445	2029735.0
s__Streptococcus sobrinus	1216017.0
s__Streptococcus mutans	2020615.0
g__Lactococcus	1852814.25
s__Lactococcus lactis_E	2321080.0
s__Lactococcus lactis	2363031.0
s__Lactococcus garvieae	2064828.0
s__Lactococcus petauri	1943916.0
s__Lactococcus garvieae_B	1758548.0
s__Lactococcus raffinolactis	1472277.0
s__Lactococcus piscium_C	1565244.0
f__Enterococcaceae	3096196.7619047617
g__Enterococcus_G	1887038.0
s__Enterococcus_G italicus	1887038.0
g__Enterococcus_D	3337564.0
s__Enterococcus_D casseliflavus	3499862.0
s__Enterococcus_D sp002850555	3361404.0
s__Enterococcus_D gallinarum	3151426.0
g__Enterococcus_C	2662108.25
s__Enterococcus_C dispar	2570475.0
s__Enterococcus_C asini	2560730.0
s__Enterococcus_C massiliensis	2712841.0
g__Enterococcus_A	3471615.833333333
s__Enterococcus_A gilvus	3507168.0
s__Enterococcus_A raffinosus	4207346.0
s__Enterococcus_A sp002140655	2985142.0
s__Enterococcus_A avium	4465025.0
s__Enterococcus_A devriesei	3054497.0
s__Enterococcus_A pallens	2610517.0
g__Enterococcus_B	3060021.6
s__Enterococcus_B hirae	2723659.0
s__Enterococcus_B durans	3083830.0
s__Enterococcus_B faecium	3157885.0
s__Enterococcus_B faecium_B	3009500.0
s__Enterococcus_B pernyi	3325234.0
g__Enterococcus	3171083.0
s__Enterococcus caccae	3531491.0
s__Enterococcus faecalis	2810675.0
f__Vagococcaceae	2148948.5
g__Vagococcus	2148948.5
s__Vagococcus teuberi	2258161.0
s__Vagococcus sp003462485	2039736.0
f__Lactobacillaceae	2082564.6086956519
g__Levilactobacillus	2621559.0
s__Levilactobacillus brevis	2621559.0
g__Lentilactobacillus	2516662.0
s__Lentilactobacillus buchneri	2478253.0
s__Lentilactobacillus kefiri	2570721.0
s__Lentilactobacillus parabuchneri	2487416.0
s__Lentilactobacillus hilgardii	3144656.0
s__Lentilactobacillus parafarraginis	2852137.0
s__Lentilactobacillus senioris	1566789.0
g__Fructilactobacillus	1209423.0
s__Fructilactobacillus sanfranciscensis	1209423.0
g__Limosilactobacillus	2003120.1
s__Limosilactobacillus antri	2241837.0
s__Limosilactobacillus oris	2006111.0
s__Limosilactobacillus reuteri	2316838.0
s__Limosilactobacillus vaginalis	1731903.0
s__Limosilactobacillus vaginalis_A	1947461.0
s__Limosilactobacillus fermentum	1968193.0
s__Limosilactobacillus sp900557215	1475799.0
s__Limosilactobacillus mucosae	2369669.0
g__Lactiplantibacillus	3385313.5
s__Lactiplantibacillus pentosus	3358325.0
s__Lactiplantibacillus plantarum	3412302.0
g__Pediococcus	1846938.0
s__Pediococcus pentosaceus	1751049.0
s__Pediococcus acidilactici	1942827.0
g__Leuconostoc	1679398.833333333
s__Leuconostoc lactis	1712109.0
s__Leuconostoc sp900554745	1301509.0
s__Leuconostoc citreum	1610057.0
s__Leuconostoc inhae	1420821.0
s__Leuconostoc mesenteroides	1735074.0
s__Leuconostoc pseudomesenteroides_A	2296823.0
g__Weissella	1887985.2
s__Weissella paramesenteroides	1980223.0
s__Weissella confusa	2183786.0
s__Weissella cibaria	2226212.0
s__Weissella viridescens	1591687.0
s__Weissella koreensis	1458018.0
g__Ligilactobacillus	2004639.333333333
s__Ligilactobacillus animalis	1849821.0
s__Ligilactobacillus murinus	2221226.0
s__Ligilactobacillus ruminis	2086628.0
s__Ligilactobacillus agilis	2134779.0
s__Ligilactobacillus salivarius	1978364.0
g__Lactobacillus	1854783.7894736843
s__Lactobacillus amylovorus	1785769.0
s__Lactobacillus ultunensis	2248406.0
s__Lactobacillus helveticus	2058319.0
s__Lactobacillus gallinarum	1842627.0
s__Lactobacillus acidophilus	2009507.0
s__Lactobacillus crispatus	2218083.0
s__Lactobacillus amylolyticus	1537388.0
s__Lactobacillus kalixensis	1178622.0
s__Lactobacillus intestinalis	2017471.0
s__Lactobacillus apis	1387413.0
s__Lactobacillus delbrueckii	2071079.0
s__Lactobacillus delbrueckii_A	1647230.0
s__Lactobacillus jensenii_A	1675234.0
s__Lactobacillus gasseri	1974590.0
s__Lactobacillus paragasseri	2129370.0
s__Lactobacillus johnsonii	1972012.0
s__Lactobacillus hominis	1926334.0
s__Lactobacillus iners	1274722.0
g__Companilactobacillus	2370791.0
s__Companilactobacillus farciminis_A	2370791.0
g__Lapidilactobacillus	1826765.0
s__Lapidilactobacillus dextrinicus	1826765.0
g__Schleiferilactobacillus	3078759.0
s__Schleiferilactobacillus harbinensis	3078759.0
g__Lacticaseibacillus	2798873.8
s__Lacticaseibacillus sp900540605	2470970.0
s__Lacticaseibacillus zeae	3001027.0
s__Lacticaseibacillus rhamnosus	3010111.0
s__Lacticaseibacillus paracasei	3076437.0
s__Lacticaseibacillus saniviri	2435824.0
g__Latilactobacillus	1941437.0
s__Latilactobacillus curvatus	1925070.0
s__Latilactobacillus sakei	1957804.0
g__Loigolactobacillus	2331695.0
s__Loigolactobacillus coryniformis	2331695.0
f__Aerococcaceae	1521151.5
g__Granulicatella	1521151.5
s__Granulicatella sp001058355	1704884.0
s__Granulicatella sp900551535	1478056.0
s__Granulicatella adiacens	1849304.0
f__Listeriaceae	2862502.5
g__Listeria	2862502.5
s__Listeria monocytogenes_B	3017944.0
s__Listeria monocytogenes	2941624.0
s__Listeria innocua	2892121.0
s__Listeria grayi	2598321.0
o__Erysipelotrichales	2489274.6117647057
f__Erysipelotrichaceae	2425199.659574468
g__Bulleidia	1912387.0
s__Bulleidia moorei	1989891.0
s__Bulleidia sp900554555	1081288.0
s__Bulleidia sp900539965	2056602.0
s__Bulleidia massiliensis	2688357.0
g__Holdemania	3544904.0
s__Holdemania filiformis	3744856.0
s__Holdemania sp900120005	3078380.0
s__Holdemania massiliensis	3811476.0
g__UBA636	1753240.0
s__UBA636 sp900546285	1753240.0
g__Holdemanella	2149818.4444444445
s__Holdemanella biformis	2090549.0
t__HRGM_Genome_1885	2176683.0
t__HRGM_Genome_1881	2103241.0
t__HRGM_Genome_1882	2238090.0
t__HRGM_Genome_1886	1844182.0
s__Holdemanella sp900547815	2321148.0
s__Holdemanella sp003436425	2573374.0
s__Holdemanella sp002299315	1806192.0
s__Holdemanella sp003458715	2274946.0
g__Faecalicoccus	2142769.333333333
s__Faecalicoccus pleomorphus	1847841.0
s__Faecalicoccus sp900546545	2478513.0
g__Faecalitalea	1884672.0
s__Faecalitalea cylindroides	1884672.0
g__CAG-536	1857481.0
s__CAG-536 sp000434355	1820133.0
s__CAG-536 sp900314505	1894829.0
g__Faecalibaculum	2275757.0
s__Faecalibaculum rodentium	2275757.0
g__Merdibacter	2128297.5
s__Merdibacter sp900543035	2365295.0
g__Longicatena	3566636.25
s__Longicatena innocuum	4006298.0
s__Longicatena sp003481775	4827540.0
s__Longicatena sp000165065	4486197.0
s__Longicatena sp900552125	3113530.0
s__Longicatena caecimuris	3098456.0
s__Longicatena sp900411325	2441807.0
s__Longicatena sp003433845	4368209.0
s__Longicatena dolichum	2191053.0
g__OEMR01	1886982.5
s__OEMR01 sp900199515	1850660.0
g__Dielma	3486316.5
s__Dielma fastidiosa	3615034.0
s__Dielma sp001305055	3357599.0
f__Erysipelatoclostridiaceae	2568525.210526316
g__Catenibacterium	2179051.0
s__Catenibacterium mitsuokai	2532364.0
s__Catenibacterium sp900540665	2136964.0
s__Catenibacterium sp000437715	2331298.0
s__Catenibacterium sp900540685	2060420.0
g__Stoquefichus	3164526.0
s__Stoquefichus massiliensis	3509866.0
s__Stoquefichus sp001244545	2819186.0
g__Coprobacillus	3415132.0
s__Coprobacillus cateniformis	3415132.0
g__Longibaculum	2964390.0
s__Longibaculum muris	3163173.0
s__Longibaculum sp900538465	2765607.0
g__Massiliomicrobiota	2288859.4
s__Massiliomicrobiota sp002160815	2472840.333333333
t__HRGM_Genome_2293	2339347.0
t__HRGM_Genome_2291	2730505.0
t__HRGM_Genome_2292	2348669.0
s__Massiliomicrobiota sp002160865	2380466.0
g__Erysipelatoclostridium	2639144.5
s__Erysipelatoclostridium sp000508865	2748908.0
s__Erysipelatoclostridium saccharogumia	3143441.0
s__Erysipelatoclostridium spiroforme	2695760.0
t__HRGM_Genome_0292	2507885.0
t__HRGM_Genome_0294	2883635.0
s__Erysipelatoclostridium ramosum	3237710.0
t__HRGM_Genome_0142	3793219.0
t__HRGM_Genome_0143	2682201.0
s__Erysipelatoclostridium sp002160495	2814686.0
s__Erysipelatoclostridium sp000752095	2706099.25
t__HRGM_Genome_1728	3081287.0
t__HRGM_Genome_1727	2852785.0
t__HRGM_Genome_1729	2427464.0
t__HRGM_Genome_1732	2462861.0
s__Erysipelatoclostridium sp900544435	2790604.0
s__Erysipelatoclostridium sp003024675	2318311.5
t__HRGM_Genome_1725	2525977.0
t__HRGM_Genome_1731	2420879.0
t__HRGM_Genome_1726	2060526.0
t__HRGM_Genome_1730	2265864.0
s__Erysipelatoclostridium sp003480255	2159993.0
g__Beduini	2576246.333333333
s__Beduini massiliensis	2850586.0
s__Beduini sp900550005	1980396.0
o__RFN20	1558655.3684210526
f__CAG-826	1482447.666666667
g__UBA4951	1375408.0
s__UBA4951 sp900540385	1684203.0
s__UBA4951 sp900542595	1066613.0
g__UBA733	1682985.8
s__UBA733 sp900550795	1951559.0
s__UBA733 sp900539595	1776566.0
g__UBA4855	1336002.142857143
s__UBA4855 sp900540395	1617589.0
s__UBA4855 sp900545015	1556359.0
s__UBA4855 sp900540365	1290735.0
g__CAG-826	1640402.0
s__CAG-826 sp000437235	1640402.0
g__RUG131	1708309.5
s__RUG131 sp900315885	1468191.0
s__RUG131 sp900549975	1948428.0
f__CAG-288	1516193.0
g__UBA7642	1586111.2
s__UBA7642 sp900549915	1713396.0
s__UBA7642 sp900539865	1366807.0
g__CAG-568	1362982.0
s__CAG-568 sp000434395	1362982.0
g__CAG-345	1649118.0
s__CAG-345 sp000433315	1649118.0
g__CAG-288	1700744.0
s__CAG-288 sp000437395	1700744.0
f__CAG-449	1869049.8
g__CAG-449	1905808.0
s__CAG-449 sp000432895	2168872.0
f__CAG-631	1607533.4
g__CAG-631	1607533.4
s__CAG-631 sp000433015	1383591.0
o__Mycoplasmatales	665700.0
f__Metamycoplasmataceae	604572.0
g__Metamycoplasma	604572.0
s__Metamycoplasma hominis	604572.0
f__Mycoplasmoidaceae	661530.0
g__Ureaplasma	661530.0
s__Ureaplasma parvum	780951.0
s__Ureaplasma sp900544585	542109.0
f__UBA3375	735168.0
g__UBA3375	735168.0
s__UBA3375 sp900551955	735168.0
o__RF39	1211201.246753247
f__CAG-302	1190207.04
g__CAG-302	1189761.3
s__CAG-302 sp001916775	1055489.0
t__HRGM_Genome_2823	916137.0
t__HRGM_Genome_2819	1194841.0
s__CAG-302 sp900548425	1331726.0
s__CAG-302 sp900554615	1353414.0
s__CAG-302 sp900543825	1101000.0
s__CAG-302 sp000431795	1274432.5
t__HRGM_Genome_2820	1284926.0
t__HRGM_Genome_2822	1263939.0
s__CAG-302 sp900549325	1189910.0
g__RUG705	984100.3333333335
s__RUG705 sp900551455	1058803.0
g__CAG-914	1267499.5
s__CAG-914 sp000437895	1267499.5
t__HRGM_Genome_2999	1303871.0
t__HRGM_Genome_2998	1231128.0
g__CAG-762	1145137.0
s__CAG-762 sp000432575	1286390.0
s__CAG-762 sp900551315	1008980.0
f__UBA5348	1159389.0
g__CAG-1193	1159389.0
s__CAG-1193 sp000436255	1114042.0
s__CAG-1193 sp900550145	1250938.0
f__CAG-433	1235756.6153846157
g__CAG-433	1320414.833333333
s__CAG-433 sp000433675	1371320.5
t__HRGM_Genome_2007	1368396.0
t__HRGM_Genome_2005	1374245.0
s__CAG-433 sp900546245	1281725.666666667
t__HRGM_Genome_2010	1227979.0
t__HRGM_Genome_2008	1356097.0
t__HRGM_Genome_2009	1261101.0
g__CAG-594	1163192.4285714286
s__CAG-594 sp000434835	1173749.0
s__CAG-594 sp900547225	1129194.0
f__CAG-822	1162554.1379310344
g__UBA5026	1204032.7142857143
s__UBA5026 sp900546745	1233479.0
s__UBA5026 sp900552335	1289678.0
s__UBA5026 sp900550255	1098130.0
s__UBA5026 sp900557305	1220790.0
g__UBA3631	1174983.0
s__UBA3631 sp900544605	1046494.0
s__UBA3631 sp900546275	1132371.0
g__UMGS1045	1347335.5
s__UMGS1045 sp900547995	1423737.0
g__UBA5578	1008660.0
s__UBA5578 sp900553395	719902.0
g__CAG-884	1218660.75
s__CAG-884 sp000433875	1325619.0
g__UMGS1648	1050607.5
s__UMGS1648 sp900553765	1034312.0
g__UMGS2016	1037772.75
s__UMGS2016 sp900557185	1339361.0
g__CAG-822	1405026.0
s__CAG-822 sp000432855	1363105.0
s__CAG-822 sp900546055	1446947.0
g__CAG-878	1058735.0
s__CAG-878 sp000432255	1265326.0
f__CAG-611	1259270.2894736843
g__CAG-877	1289627.2727272727
s__CAG-877 sp900554305	1625649.0
t__HRGM_Genome_3681	1579163.0
t__HRGM_Genome_3682	1672135.0
s__CAG-877 sp900554315	1407635.0
s__CAG-877 sp900548695	1410926.0
s__CAG-877 sp000433455	1413908.0
s__CAG-877 sp900552495	1540464.0
g__UBA3789	1642910.0
s__UBA3789 sp900543055	1642910.0
g__UMGS995	1323234.666666667
s__UMGS995 sp900547465	1437827.0
g__CAG-417	1269692.0
s__CAG-417 sp000432835	1269692.0
g__CAG-451	1382255.8
s__CAG-451 sp000438295	1409144.0
g__UBA7057	1166002.0
s__UBA7057 sp900543675	1541132.0
s__UBA7057 sp900542735	1361413.0
g__CAG-710	1321213.25
s__CAG-710 sp000432595	1104451.0
g__CAG-988	1273860.0
s__CAG-988 sp003149915	1480560.0
g__CAG-611	1214024.0
s__CAG-611 sp000434175	1005210.0
s__CAG-611 sp900552235	1031211.0
g__UMGS1572	982109.0
s__UMGS1572 sp900553045	982109.0
g__UMGS1449	775161.0
s__UMGS1449 sp900551925	785527.0
f__CAG-1000	1210010.2608695652
g__CAG-460	1205541.25
s__CAG-460 sp000437355	1191088.0
s__CAG-460 sp900544625	1140810.0
s__CAG-460 sp900551525	1156266.0
s__CAG-460 sp000438075	1246868.0
s__CAG-460 sp900546715	1544654.0
s__CAG-460 sp000437315	1302300.0
g__CAG-776	1306117.333333333
s__CAG-776 sp000438195	1304133.0
s__CAG-776 sp900549285	1177391.0
g__UMGS1217	1165027.5
s__UMGS1217 sp900549625	1285612.0
g__CAG-605	1280814.4
s__CAG-605 sp000433475	1573020.0
s__CAG-605 sp900545005	1225239.0
s__CAG-605 sp000433255	1262091.0
g__UBA11963	1580436.0
s__UBA11963 sp900552975	1580436.0
g__CAG-533	1109003.0
s__CAG-533 sp000434495	1084208.0
s__CAG-533 sp900551105	1071036.0
s__CAG-533 sp004563275	1113514.0
s__CAG-533 sp900553855	1167254.0
g__UMGS1124	1209627.0
s__UMGS1124 sp900548725	1209627.0
g__CAG-582	1297238.5
s__CAG-582 sp000435515	1169762.0
g__CAG-1000	1275371.25
s__CAG-1000 sp004552445	1396726.0
s__CAG-1000 sp000434555	1224500.0
s__CAG-1000 sp000436975	1197670.0
s__CAG-1000 sp900556025	1225701.0
g__CAG-628	1077437.0
s__CAG-628 sp000438415	1274831.0
s__CAG-628 sp900553835	940779.0
s__CAG-628 sp003524085	1140462.0
g__UMGS1611	941238.0
s__UMGS1611 sp900553435	941238.0
o__Acholeplasmatales	1831592.833333333
f__Anaeroplasmataceae	1831592.833333333
g__UMGS268	1706816.0
s__UMGS268 sp900540175	1606694.0
s__UMGS268 sp900540705	1806938.0
g__CAG-307	1863797.0
s__CAG-307 sp001916215	1943147.0
s__CAG-307 sp900547045	1784447.0
o__ML615J-28	1705711.3846153843
f__CAG-313	1712326.0
g__CAG-313	1748380.5
s__CAG-313 sp000433035	1773949.0
s__CAG-313 sp900539265	1876172.0
s__CAG-313 sp003539625	1583580.0
g__UMGS75	1675211.0
s__UMGS75 sp900538885	1690546.0
g__UMGS1109	1594786.5
s__UMGS1109 sp900548675	1621286.0
f__CAG-698	1683662.666666667
g__Tener-01	1763421.0
s__Tener-01 sp001940985	1763421.0
g__CAG-698	2140537.0
s__CAG-698 sp000431235	2140537.0
o__Haloplasmatales	2610787.0
f__Turicibacteraceae	2610787.0
g__Turicibacter	2610787.0
s__Turicibacter sp001543345	2262943.0
s__Turicibacter sanguinis	2958631.0
o__Staphylococcales	2189139.590909091
f__Staphylococcaceae	2544202.0
g__Staphylococcus	2530147.076923077
s__Staphylococcus xylosus_B	2927652.0
s__Staphylococcus xylosus	2823639.0
s__Staphylococcus nepalensis	2824738.0
s__Staphylococcus capitis	2394594.0
s__Staphylococcus epidermidis	2560878.0
s__Staphylococcus warneri	2673248.0
s__Staphylococcus argenteus	2783391.0
s__Staphylococcus aureus	2749621.0
s__Staphylococcus haemolyticus_A	1416081.0
s__Staphylococcus haemolyticus	2548117.0
s__Staphylococcus hominis	2181331.0
s__Staphylococcus lugdunensis	2529799.0
s__Staphylococcus fleurettii	2478823.0
g__Staphylococcus_A	2726916.0
s__Staphylococcus_A lentus	2726916.0
f__Salinicoccaceae	1509734.0
g__Nosocomiicoccus	1509734.0
s__Nosocomiicoccus massiliensis	1509734.0
f__Gemellaceae	1576072.7142857143
g__Gemella	1576072.7142857143
s__Gemella haemolysans_B	1210691.0
s__Gemella sp002871655	1764117.0
s__Gemella sanguinis	1827227.0
s__Gemella sp900555985	1248288.0
s__Gemella morbillorum	1790867.0
o__Exiguobacterales	2917814.0
f__Exiguobacteraceae	2917814.0
g__Exiguobacterium	2829540.0
s__Exiguobacterium sp003467445	2830712.0
o__Bacillales	4147406.904761905
f__Planococcaceae	3497688.8571428573
g__Ureibacillus	3519256.0
s__Ureibacillus endophyticus	3519256.0
g__Kurthia	3434061.666666666
s__Kurthia sp002418445	4094628.0
s__Kurthia massiliensis	3230817.0
s__Kurthia senegalensis	2976740.0
g__Paenisporosarcina	3522309.0
s__Paenisporosarcina sp000411295	3522309.0
g__Planococcus	3357017.0
s__Planococcus massiliensis	3357017.0
f__Domibacillaceae	3238901.0
g__Bacillus_O	3238901.0
s__Bacillus_O smithii	3238901.0
f__Bacillaceae_C	2910400.0
